id,Category,len,color,fit_shape,length,pattern,print_or_pattern_type,sleeve_length,sleeve_styling,surface_styling,attr_9,attr_10
32638,Women Tshirts,8,maroon,,regular,solid,solid,long sleeves,regular sleeves,,,
32639,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32640,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32641,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32642,Women Tshirts,8,yellow,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32643,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32644,Women Tshirts,8,maroon,loose,long,solid,solid,short sleeves,regular sleeves,,,
32645,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,,,
32646,Women Tshirts,8,pink,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32647,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32648,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32649,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,,,
32650,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32651,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32652,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32653,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32654,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32655,Women Tshirts,8,default,loose,long,default,default,short sleeves,regular sleeves,,,
32656,Women Tshirts,8,black,boxy,crop,printed,graphic,default,,,,
32657,Women Tshirts,8,default,boxy,crop,printed,graphic,default,,,,
32658,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,,,
32659,Women Tshirts,8,yellow,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32660,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32661,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32662,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32663,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32664,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32665,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,,,
32666,Women Tshirts,8,yellow,,crop,printed,graphic,default,,,,
32667,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32668,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32669,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32670,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32671,Women Tshirts,8,default,,crop,printed,quirky,default,,,,
32672,Women Tshirts,8,maroon,,regular,default,default,default,regular sleeves,,,
32673,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32674,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32675,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32676,Women Tshirts,8,maroon,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32677,Women Tshirts,8,black,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32678,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32679,Women Tshirts,8,pink,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32680,Women Tshirts,8,yellow,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32681,Women Tshirts,8,black,regular,long,default,default,default,regular sleeves,,,
32682,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32683,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32684,Women Tshirts,8,default,,crop,printed,funky print,default,,,,
32685,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32686,Women Tshirts,8,yellow,loose,long,solid,solid,short sleeves,regular sleeves,,,
32687,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32688,Women Tshirts,8,yellow,loose,long,printed,funky print,default,regular sleeves,,,
32689,Women Tshirts,8,maroon,loose,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32690,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32691,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32692,Women Tshirts,8,pink,boxy,crop,printed,funky print,default,,,,
32693,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32694,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32695,Women Tshirts,8,black,regular,long,default,default,default,regular sleeves,,,
32696,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,,,
32697,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32698,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32699,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32700,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32701,Women Tshirts,8,yellow,,crop,printed,graphic,default,,,,
32702,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,,,
32703,Women Tshirts,8,black,,crop,printed,funky print,default,,,,
32704,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32705,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32706,Women Tshirts,8,default,boxy,crop,printed,quirky,default,,,,
32707,Women Tshirts,8,default,,regular,solid,solid,short sleeves,,,,
32708,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,,,
32709,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32710,Women Tshirts,8,black,loose,long,default,default,short sleeves,regular sleeves,,,
32711,Women Tshirts,8,default,,crop,printed,funky print,default,,,,
32712,Women Tshirts,8,default,loose,long,printed,graphic,default,regular sleeves,,,
32713,Women Tshirts,8,black,,crop,printed,quirky,default,,,,
32714,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32715,Women Tshirts,8,default,loose,long,printed,quirky,default,regular sleeves,,,
32716,Women Tshirts,8,black,regular,crop,solid,solid,default,,,,
32717,Women Tshirts,8,yellow,,crop,printed,funky print,default,,,,
32718,Women Tshirts,8,yellow,regular,long,default,default,default,regular sleeves,,,
32719,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,,,
32720,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32721,Women Tshirts,8,black,,crop,printed,funky print,default,,,,
32722,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32723,Women Tshirts,8,multicolor,,regular,default,default,long sleeves,cuffed sleeves,,,
32724,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32725,Women Tshirts,8,yellow,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32726,Women Tshirts,8,multicolor,,regular,default,default,long sleeves,cuffed sleeves,,,
32727,Women Tshirts,8,multicolor,,regular,default,default,long sleeves,cuffed sleeves,,,
32728,Women Tshirts,8,multicolor,,regular,default,default,long sleeves,,,,
32729,Women Tshirts,8,black,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32730,Women Tshirts,8,maroon,,regular,printed,funky print,default,,,,
32731,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32732,Women Tshirts,8,black,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32733,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32734,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32735,Women Tshirts,8,maroon,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32736,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32737,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32738,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32739,Women Tshirts,8,yellow,boxy,crop,printed,graphic,default,,,,
32740,Women Tshirts,8,yellow,boxy,crop,printed,graphic,default,,,,
32741,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32742,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32743,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32744,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32745,Women Tshirts,8,default,boxy,regular,printed,funky print,long sleeves,cuffed sleeves,,,
32746,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32747,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32748,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32749,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,,,
32750,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32751,Women Tshirts,8,maroon,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32752,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32753,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32754,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32755,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32756,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32757,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32758,Women Tshirts,8,black,regular,regular,solid,solid,default,,,,
32759,Women Tshirts,8,default,,crop,solid,solid,long sleeves,regular sleeves,,,
32760,Women Tshirts,8,maroon,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32761,Women Tshirts,8,default,,crop,printed,graphic,default,,,,
32762,Women Tshirts,8,default,,crop,printed,graphic,default,,,,
32763,Women Tshirts,8,default,,crop,printed,graphic,default,,,,
32764,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32765,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32766,Women Tshirts,8,default,loose,long,printed,typography,default,,,,
32767,Women Tshirts,8,multicolor,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32768,Women Tshirts,8,yellow,,crop,printed,graphic,default,,,,
32769,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32770,Women Tshirts,8,black,,crop,printed,funky print,default,,,,
32771,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32772,Women Tshirts,8,default,regular,crop,solid,solid,default,,,,
32773,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32774,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32775,Women Tshirts,8,pink,loose,long,printed,typography,default,,,,
32776,Women Tshirts,8,default,loose,long,printed,typography,default,,,,
32777,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32778,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32779,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32780,Women Tshirts,8,default,boxy,crop,printed,funky print,default,,,,
32781,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32782,Women Tshirts,8,default,,,solid,solid,long sleeves,regular sleeves,,,
32783,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32784,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32785,Women Tshirts,8,black,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32786,Women Tshirts,8,pink,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32787,Women Tshirts,8,yellow,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32788,Women Tshirts,8,maroon,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32789,Women Tshirts,8,pink,boxy,crop,printed,funky print,default,,,,
32790,Women Tshirts,8,black,boxy,crop,printed,funky print,default,,,,
32791,Women Tshirts,8,maroon,loose,long,printed,funky print,default,regular sleeves,,,
32792,Women Tshirts,8,pink,loose,long,printed,funky print,default,regular sleeves,,,
32793,Women Tshirts,8,black,regular,crop,solid,quirky,long sleeves,cuffed sleeves,,,
32794,Women Tshirts,8,yellow,regular,crop,solid,solid,default,,,,
32795,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32796,Women Tshirts,8,pink,loose,long,printed,funky print,short sleeves,,,,
32797,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,,,
32798,Women Tshirts,8,black,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32799,Women Tshirts,8,pink,,crop,printed,graphic,default,,,,
32800,Women Tshirts,8,black,,regular,printed,graphic,default,,,,
32801,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,,,,
32802,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,,,,
32803,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,,,,
32804,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,,,,
32805,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,,,,
32806,Women Tshirts,8,default,boxy,regular,printed,default,long sleeves,,,,
32807,Women Tshirts,8,maroon,boxy,regular,printed,default,long sleeves,,,,
32808,Women Tshirts,8,black,boxy,regular,printed,default,long sleeves,,,,
32809,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32810,Women Tshirts,8,default,,crop,printed,funky print,default,,,,
32811,Women Tshirts,8,pink,loose,long,printed,typography,default,,,,
32812,Women Tshirts,8,yellow,loose,long,solid,solid,short sleeves,regular sleeves,,,
32813,Women Tshirts,8,yellow,loose,long,printed,graphic,default,regular sleeves,,,
32814,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32815,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,,,
32816,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32817,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32818,Women Tshirts,8,maroon,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32819,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32820,Women Tshirts,8,default,boxy,crop,printed,graphic,default,,,,
32821,Women Tshirts,8,pink,,crop,printed,graphic,default,,,,
32822,Women Tshirts,8,default,,crop,printed,graphic,default,,,,
32823,Women Tshirts,8,yellow,,crop,printed,graphic,default,,,,
32824,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32825,Women Tshirts,8,yellow,,crop,printed,graphic,default,,,,
32826,Women Tshirts,8,multicolor,regular,long,default,default,long sleeves,regular sleeves,,,
32827,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,,,
32828,Women Tshirts,8,black,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,,,
32829,Women Tshirts,8,black,,regular,printed,quirky,default,,,,
32830,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32831,Women Tshirts,8,maroon,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32832,Women Tshirts,8,maroon,,regular,solid,solid,long sleeves,regular sleeves,,,
32833,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32834,Women Tshirts,8,yellow,,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32835,Women Tshirts,8,maroon,loose,long,solid,solid,short sleeves,regular sleeves,,,
32836,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32837,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32838,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32839,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32840,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32841,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32842,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32843,Women Tshirts,8,default,loose,long,printed,quirky,long sleeves,regular sleeves,,,
32844,Women Tshirts,8,black,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32845,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32846,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32847,Women Tshirts,8,default,,crop,printed,funky print,default,,,,
32848,Women Tshirts,8,yellow,,crop,printed,funky print,default,,,,
32849,Women Tshirts,8,black,loose,long,default,default,short sleeves,regular sleeves,,,
32850,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32851,Women Tshirts,8,default,,crop,printed,funky print,default,,,,
32852,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32853,Women Tshirts,8,pink,loose,long,printed,funky print,short sleeves,,,,
32854,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32855,Women Tshirts,8,black,,crop,solid,solid,long sleeves,regular sleeves,,,
32856,Women Tshirts,8,multicolor,regular,long,default,default,default,regular sleeves,,,
32857,Women Tshirts,8,default,regular,crop,solid,solid,default,,,,
32858,Women Tshirts,8,black,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32859,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32860,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32861,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32862,Women Tshirts,8,yellow,regular,regular,solid,solid,default,,,,
32863,Women Tshirts,8,pink,,crop,solid,solid,long sleeves,regular sleeves,,,
32864,Women Tshirts,8,default,,crop,solid,solid,long sleeves,regular sleeves,,,
32865,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,,,
32866,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32867,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32868,Women Tshirts,8,default,,crop,printed,quirky,default,,,,
32869,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32870,Women Tshirts,8,maroon,,crop,solid,solid,long sleeves,regular sleeves,,,
32871,Women Tshirts,8,black,,crop,printed,funky print,default,,,,
32872,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32873,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32874,Women Tshirts,8,multicolor,regular,long,default,default,long sleeves,regular sleeves,,,
32875,Women Tshirts,8,multicolor,regular,long,default,default,long sleeves,regular sleeves,,,
32876,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32877,Women Tshirts,8,multicolor,regular,long,default,default,long sleeves,regular sleeves,,,
32878,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32879,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32880,Women Tshirts,8,default,,crop,printed,funky print,default,,,,
32881,Women Tshirts,8,multicolor,regular,regular,solid,solid,default,,,,
32882,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32883,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32884,Women Tshirts,8,yellow,,crop,printed,funky print,default,,,,
32885,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,,,
32886,Women Tshirts,8,black,boxy,regular,printed,funky print,long sleeves,cuffed sleeves,,,
32887,Women Tshirts,8,maroon,loose,long,solid,funky print,short sleeves,regular sleeves,,,
32888,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32889,Women Tshirts,8,yellow,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32890,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32891,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32892,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32893,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32894,Women Tshirts,8,multicolor,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32895,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,,,
32896,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32897,Women Tshirts,8,black,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32898,Women Tshirts,8,black,boxy,crop,printed,funky print,default,,,,
32899,Women Tshirts,8,black,loose,long,printed,quirky,default,regular sleeves,,,
32900,Women Tshirts,8,black,regular,regular,default,default,default,cuffed sleeves,,,
32901,Women Tshirts,8,multicolor,regular,regular,default,default,default,cuffed sleeves,,,
32902,Women Tshirts,8,black,regular,regular,default,default,default,cuffed sleeves,,,
32903,Women Tshirts,8,multicolor,regular,regular,default,default,default,cuffed sleeves,,,
32904,Women Tshirts,8,default,regular,long,default,default,long sleeves,regular sleeves,,,
32905,Women Tshirts,8,multicolor,regular,long,default,default,long sleeves,regular sleeves,,,
32906,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32907,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,,,
32908,Women Tshirts,8,black,,crop,solid,solid,long sleeves,,,,
32909,Women Tshirts,8,default,loose,long,printed,typography,default,,,,
32910,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32911,Women Tshirts,8,black,,crop,solid,solid,long sleeves,regular sleeves,,,
32912,Women Tshirts,8,default,loose,long,printed,default,short sleeves,,,,
32913,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,,,
32914,Women Tshirts,8,default,loose,long,default,default,short sleeves,regular sleeves,,,
32915,Women Tshirts,8,default,loose,long,default,default,short sleeves,regular sleeves,,,
32916,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
32917,Women Tshirts,8,default,,crop,solid,solid,long sleeves,regular sleeves,,,
32918,Women Tshirts,8,pink,loose,long,printed,default,short sleeves,,,,
32919,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,regular sleeves,,,
32920,Women Tshirts,8,yellow,loose,long,printed,default,short sleeves,,,,
32921,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32922,Women Tshirts,8,maroon,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,,,
32923,Women Tshirts,8,black,,crop,solid,solid,long sleeves,regular sleeves,,,
32924,Women Tshirts,8,pink,boxy,crop,printed,quirky,long sleeves,cuffed sleeves,,,
32925,Women Tshirts,8,black,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32926,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32927,Women Tshirts,8,black,,regular,solid,solid,long sleeves,regular sleeves,,,
32928,Women Tshirts,8,maroon,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32929,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32930,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,cuffed sleeves,,,
32931,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32932,Women Tshirts,8,black,regular,long,solid,solid,default,regular sleeves,,,
32933,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32934,Women Tshirts,8,maroon,,regular,solid,solid,long sleeves,regular sleeves,,,
32935,Women Tshirts,8,default,,regular,solid,solid,long sleeves,cuffed sleeves,,,
32936,Women Tshirts,8,multicolor,loose,long,default,default,short sleeves,,,,
32937,Women Tshirts,8,black,,crop,printed,graphic,default,,,,
32938,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,,,
32939,Women Tshirts,8,default,regular,crop,solid,solid,long sleeves,cuffed sleeves,,,
