id,Category,len,color,fit_shape,length,occasion,ornamentation,pattern,print_or_pattern_type,sleeve_length,sleeve_styling,attr_10
25799,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25800,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25801,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25802,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25803,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25804,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25805,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25806,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25807,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25808,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25809,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25810,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25811,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25812,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25813,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25814,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25815,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25816,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25817,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25818,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25819,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25820,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25821,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25822,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25823,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25824,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,
25825,Kurtis,9,green,straight,calf length,daily,default,solid,solid,three-quarter sleeves,regular,
25826,Kurtis,9,,,calf length,party,default,default,default,three-quarter sleeves,regular,
25827,Kurtis,9,,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
25828,Kurtis,9,,a-line,calf length,,default,default,default,three-quarter sleeves,regular,
25829,Kurtis,9,,,calf length,party,default,default,default,three-quarter sleeves,regular,
25830,Kurtis,9,black,a-line,knee length,,default,solid,solid,three-quarter sleeves,regular,
25831,Kurtis,9,red,a-line,knee length,daily,default,solid,solid,three-quarter sleeves,regular,
25832,Kurtis,9,red,straight,knee length,daily,net,solid,solid,short sleeves,regular,
25833,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25834,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25835,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25836,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25837,Kurtis,9,pink,,calf length,party,default,default,default,three-quarter sleeves,regular,
25838,Kurtis,9,,,calf length,party,default,default,default,three-quarter sleeves,regular,
25839,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25840,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25841,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25842,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25843,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25844,Kurtis,9,maroon,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25845,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25846,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25847,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25848,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25849,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25850,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25851,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25852,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25853,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,
25854,Kurtis,9,red,a-line,knee length,daily,default,solid,solid,three-quarter sleeves,regular,
25855,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,
25856,Kurtis,9,blue,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,
25857,Kurtis,9,black,,,party,default,default,default,three-quarter sleeves,regular,
25858,Kurtis,9,green,,,party,default,default,default,three-quarter sleeves,,
25859,Kurtis,9,purple,,,party,default,default,default,three-quarter sleeves,regular,
25860,Kurtis,9,grey,,,party,default,default,default,three-quarter sleeves,regular,
25861,Kurtis,9,yellow,,,party,default,default,default,three-quarter sleeves,regular,
25862,Kurtis,9,pink,,,daily,default,default,default,three-quarter sleeves,regular,
25863,Kurtis,9,green,,,party,default,default,default,three-quarter sleeves,regular,
25864,Kurtis,9,red,,,party,default,default,default,three-quarter sleeves,regular,
25865,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
25866,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25867,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,
25868,Kurtis,9,green,straight,calf length,party,net,solid,solid,three-quarter sleeves,regular,
25869,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,
25870,Kurtis,9,blue,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25871,Kurtis,9,yellow,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25872,Kurtis,9,yellow,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25873,Kurtis,9,purple,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25874,Kurtis,9,pink,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25875,Kurtis,9,maroon,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25876,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25877,Kurtis,9,red,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
25878,Kurtis,9,white,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25879,Kurtis,9,navy blue,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
25880,Kurtis,9,black,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
25881,Kurtis,9,pink,,,,default,default,default,three-quarter sleeves,regular,
25882,Kurtis,9,multicolor,,,party,default,default,default,three-quarter sleeves,regular,
25883,Kurtis,9,pink,,,party,default,default,default,three-quarter sleeves,regular,
25884,Kurtis,9,blue,,,,default,default,default,three-quarter sleeves,regular,
25885,Kurtis,9,green,,,party,default,default,default,three-quarter sleeves,regular,
25886,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25887,Kurtis,9,red,straight,knee length,daily,net,default,solid,three-quarter sleeves,regular,
25888,Kurtis,9,maroon,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
25889,Kurtis,9,black,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25890,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25891,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25892,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25893,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25894,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25895,Kurtis,9,red,,,party,default,default,default,three-quarter sleeves,regular,
25896,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25897,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25898,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25899,Kurtis,9,green,,,party,default,default,default,three-quarter sleeves,regular,
25900,Kurtis,9,blue,,,party,default,default,default,,regular,
25901,Kurtis,9,purple,,,party,default,default,default,three-quarter sleeves,regular,
25902,Kurtis,9,red,,,party,default,default,default,three-quarter sleeves,regular,
25903,Kurtis,9,green,,,party,default,default,default,three-quarter sleeves,regular,
25904,Kurtis,9,grey,,,daily,default,default,default,three-quarter sleeves,regular,
25905,Kurtis,9,yellow,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
25906,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25907,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25908,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25909,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25910,Kurtis,9,maroon,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25911,Kurtis,9,navy blue,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25912,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25913,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25914,Kurtis,9,black,straight,knee length,daily,net,default,solid,three-quarter sleeves,regular,
25915,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25916,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25917,Kurtis,9,pink,,calf length,,default,default,default,three-quarter sleeves,regular,
25918,Kurtis,9,,a-line,calf length,,default,default,default,,,
25919,Kurtis,9,navy blue,,,,default,default,default,three-quarter sleeves,regular,
25920,Kurtis,9,green,,,,default,default,default,three-quarter sleeves,regular,
25921,Kurtis,9,black,,,,default,default,default,three-quarter sleeves,regular,
25922,Kurtis,9,black,,,,default,default,default,three-quarter sleeves,regular,
25923,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25924,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25925,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25926,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25927,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25928,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25929,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25930,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25931,Kurtis,9,black,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
25932,Kurtis,9,red,a-line,knee length,daily,default,solid,solid,short sleeves,regular,
25933,Kurtis,9,blue,straight,knee length,daily,net,solid,solid,short sleeves,sleeveless,
25934,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25935,Kurtis,9,blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25936,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25937,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
25938,Kurtis,9,maroon,straight,knee length,daily,net,default,default,short sleeves,regular,
25939,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,short sleeves,regular,
25940,Kurtis,9,black,straight,knee length,daily,net,default,default,short sleeves,regular,
25941,Kurtis,9,red,straight,knee length,daily,net,default,default,short sleeves,regular,
25942,Kurtis,9,blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25943,Kurtis,9,purple,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25944,Kurtis,9,,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25945,Kurtis,9,purple,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25946,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25947,Kurtis,9,green,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
25948,Kurtis,9,white,straight,calf length,daily,default,default,default,three-quarter sleeves,regular,
25949,Kurtis,9,multicolor,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25950,Kurtis,9,blue,a-line,calf length,daily,default,solid,solid,short sleeves,regular,
25951,Kurtis,9,black,,,party,default,default,default,short sleeves,regular,
25952,Kurtis,9,pink,,calf length,,default,default,default,three-quarter sleeves,regular,
25953,Kurtis,9,pink,,,party,default,default,default,short sleeves,,
25954,Kurtis,9,black,,,party,default,default,default,short sleeves,,
25955,Kurtis,9,blue,,,party,default,default,default,three-quarter sleeves,regular,
25956,Kurtis,9,red,,calf length,party,default,solid,solid,sleeveless,sleeveless,
25957,Kurtis,9,green,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,
25958,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25959,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25960,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25961,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25962,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25963,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25964,Kurtis,9,pink,,calf length,,default,default,default,three-quarter sleeves,regular,
25965,Kurtis,9,maroon,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
25966,Kurtis,9,blue,,calf length,daily,default,default,default,three-quarter sleeves,regular,
25967,Kurtis,9,black,a-line,calf length,,default,default,default,three-quarter sleeves,regular,
25968,Kurtis,9,white,,calf length,daily,default,default,default,three-quarter sleeves,regular,
25969,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
25970,Kurtis,9,green,a-line,calf length,,default,default,default,three-quarter sleeves,regular,
25971,Kurtis,9,black,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25972,Kurtis,9,black,,,party,default,default,default,three-quarter sleeves,regular,
25973,Kurtis,9,white,a-line,calf length,daily,default,default,solid,three-quarter sleeves,regular,
25974,Kurtis,9,blue,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
25975,Kurtis,9,navy blue,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
25976,Kurtis,9,black,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
25977,Kurtis,9,green,a-line,calf length,daily,default,default,solid,three-quarter sleeves,regular,
25978,Kurtis,9,blue,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
25979,Kurtis,9,navy blue,a-line,calf length,,default,default,default,three-quarter sleeves,regular,
25980,Kurtis,9,black,straight,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
25981,Kurtis,9,black,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
25982,Kurtis,9,red,straight,knee length,party,net,solid,solid,short sleeves,regular,
25983,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,short sleeves,regular,
25984,Kurtis,9,black,straight,knee length,daily,net,default,default,short sleeves,regular,
25985,Kurtis,9,maroon,straight,knee length,daily,net,default,default,short sleeves,regular,
25986,Kurtis,9,black,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
25987,Kurtis,9,black,,,daily,default,default,default,,regular,
25988,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
25989,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,sleeveless,
25990,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
25991,Kurtis,9,black,,,daily,default,default,default,three-quarter sleeves,regular,
25992,Kurtis,9,pink,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
25993,Kurtis,9,navy blue,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
25994,Kurtis,9,grey,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
25995,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,short sleeves,regular,
25996,Kurtis,9,black,straight,knee length,daily,net,default,default,short sleeves,regular,
25997,Kurtis,9,red,straight,knee length,daily,net,default,default,short sleeves,regular,
25998,Kurtis,9,maroon,straight,knee length,daily,net,default,default,short sleeves,regular,
25999,Kurtis,9,black,,,party,default,default,default,three-quarter sleeves,regular,
26000,Kurtis,9,black,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
26001,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,short sleeves,regular,
26002,Kurtis,9,maroon,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26003,Kurtis,9,maroon,straight,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26004,Kurtis,9,red,,,party,default,default,default,three-quarter sleeves,regular,
26005,Kurtis,9,red,,,party,default,default,default,three-quarter sleeves,regular,
26006,Kurtis,9,purple,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
26007,Kurtis,9,multicolor,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
26008,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,short sleeves,regular,
26009,Kurtis,9,black,straight,knee length,daily,net,default,default,short sleeves,regular,
26010,Kurtis,9,maroon,straight,knee length,daily,net,default,default,short sleeves,regular,
26011,Kurtis,9,red,straight,knee length,daily,net,default,default,short sleeves,regular,
26012,Kurtis,9,yellow,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26013,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26014,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26015,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26016,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26017,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26018,Kurtis,9,black,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
26019,Kurtis,9,navy blue,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
26020,Kurtis,9,red,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
26021,Kurtis,9,maroon,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
26022,Kurtis,9,black,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26023,Kurtis,9,red,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26024,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26025,Kurtis,9,,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
26026,Kurtis,9,red,straight,knee length,daily,net,default,default,short sleeves,regular,
26027,Kurtis,9,green,straight,calf length,,default,solid,solid,three-quarter sleeves,,
26028,Kurtis,9,,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
26029,Kurtis,9,red,,calf length,,default,default,default,three-quarter sleeves,regular,
26030,Kurtis,9,yellow,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26031,Kurtis,9,yellow,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26032,Kurtis,9,red,a-line,calf length,daily,default,solid,solid,three-quarter sleeves,regular,
26033,Kurtis,9,yellow,a-line,calf length,party,net,solid,solid,three-quarter sleeves,regular,
26034,Kurtis,9,red,straight,knee length,daily,net,default,default,short sleeves,regular,
26035,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,short sleeves,regular,
26036,Kurtis,9,black,straight,knee length,daily,net,default,default,short sleeves,regular,
26037,Kurtis,9,maroon,straight,knee length,daily,net,default,default,short sleeves,regular,
26038,Kurtis,9,navy blue,,calf length,,default,solid,solid,three-quarter sleeves,,
26039,Kurtis,9,,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
26040,Kurtis,9,blue,a-line,,daily,default,default,default,three-quarter sleeves,regular,
26041,Kurtis,9,navy blue,straight,calf length,,default,solid,solid,three-quarter sleeves,,
26042,Kurtis,9,,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
26043,Kurtis,9,,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
26044,Kurtis,9,pink,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
26045,Kurtis,9,green,a-line,knee length,,default,solid,solid,three-quarter sleeves,,
26046,Kurtis,9,purple,a-line,knee length,daily,default,default,default,three-quarter sleeves,regular,
26047,Kurtis,9,grey,straight,calf length,,default,solid,solid,three-quarter sleeves,,
26048,Kurtis,9,,a-line,calf length,daily,default,default,default,three-quarter sleeves,regular,
26049,Kurtis,9,maroon,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26050,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,short sleeves,regular,
26051,Kurtis,9,red,straight,knee length,daily,net,default,default,short sleeves,regular,
26052,Kurtis,9,black,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26053,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26054,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26055,Kurtis,9,navy blue,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26056,Kurtis,9,red,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26057,Kurtis,9,maroon,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26058,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26059,Kurtis,9,blue,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26060,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26061,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26062,Kurtis,9,blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26063,Kurtis,9,navy blue,,calf length,party,default,default,default,three-quarter sleeves,regular,
26064,Kurtis,9,maroon,,calf length,,default,solid,solid,three-quarter sleeves,regular,
26065,Kurtis,9,navy blue,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26066,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26067,Kurtis,9,maroon,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26068,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26069,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26070,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26071,Kurtis,9,red,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26072,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26073,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26074,Kurtis,9,navy blue,straight,knee length,daily,net,default,default,three-quarter sleeves,regular,
26075,Kurtis,9,pink,,,party,default,default,default,three-quarter sleeves,regular,
26076,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26077,Kurtis,9,maroon,a-line,knee length,,default,solid,solid,three-quarter sleeves,regular,
26078,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26079,Kurtis,9,navy blue,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26080,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26081,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26082,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26083,Kurtis,9,,,knee length,,default,default,default,three-quarter sleeves,sleeveless,
26084,Kurtis,9,multicolor,,knee length,,default,default,default,three-quarter sleeves,,
26085,Kurtis,9,blue,,knee length,,default,default,default,three-quarter sleeves,,
26086,Kurtis,9,yellow,,knee length,,default,default,default,short sleeves,,
26087,Kurtis,9,green,,knee length,,default,default,default,three-quarter sleeves,sleeveless,
26088,Kurtis,9,,,knee length,,default,default,default,three-quarter sleeves,sleeveless,
26089,Kurtis,9,pink,,calf length,party,default,default,default,three-quarter sleeves,,
26090,Kurtis,9,yellow,,knee length,party,default,default,default,short sleeves,,
26091,Kurtis,9,navy blue,,knee length,party,default,default,default,short sleeves,,
26092,Kurtis,9,blue,,knee length,party,default,default,default,short sleeves,,
26093,Kurtis,9,navy blue,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,
26094,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26095,Kurtis,9,black,straight,calf length,daily,net,default,default,three-quarter sleeves,regular,
26096,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
26097,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,
