id,Category,len,color,fit_shape,length,neck_collar,occasion,pattern,print_or_pattern_type,sleeve_length,sleeve_styling,surface_styling
51417,Women Tops & Tunics,10,,,regular,high,,,solid,long sleeves,,
51418,Women Tops & Tunics,10,pink,regular,,,,solid,solid,,,
51419,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,default
51420,Women Tops & Tunics,10,yellow,fitted,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,
51421,Women Tops & Tunics,10,peach,regular,regular,round neck,,,solid,,regular sleeves,knitted
51422,Women Tops & Tunics,10,,,,,casual,,default,,,
51423,Women Tops & Tunics,10,maroon,fitted,regular,sweetheart neck,casual,solid,solid,long sleeves,regular sleeves,
51424,Women Tops & Tunics,10,black,fitted,regular,,,,solid,long sleeves,regular sleeves,
51425,Women Tops & Tunics,10,yellow,,,,,,solid,,,knitted
51426,Women Tops & Tunics,10,default,fitted,crop,round neck,casual,printed,quirky,sleeveless,sleeveless,
51427,Women Tops & Tunics,10,,regular,regular,,,solid,solid,,puff sleeves,
51428,Women Tops & Tunics,10,yellow,fitted,regular,square neck,casual,solid,solid,short sleeves,,knitted
51429,Women Tops & Tunics,10,red,fitted,regular,square neck,casual,solid,solid,short sleeves,,knitted
51430,Women Tops & Tunics,10,,,,square neck,,,solid,,,
51431,Women Tops & Tunics,10,default,fitted,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,waist tie-ups
51432,Women Tops & Tunics,10,,,regular,round neck,casual,solid,,short sleeves,puff sleeves,
51433,Women Tops & Tunics,10,black,regular,regular,v-neck,casual,solid,solid,short sleeves,default,ruffles
51434,Women Tops & Tunics,10,white,fitted,regular,high,casual,solid,solid,short sleeves,regular sleeves,tie-ups
51435,Women Tops & Tunics,10,navy blue,regular,crop,v-neck,casual,printed,default,short sleeves,regular sleeves,waist tie-ups
51436,Women Tops & Tunics,10,black,regular,crop,round neck,casual,default,solid,long sleeves,regular sleeves,default
51437,Women Tops & Tunics,10,default,,crop,,,,,,,
51438,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,
51439,Women Tops & Tunics,10,maroon,regular,regular,round neck,casual,solid,solid,short sleeves,default,tie-ups
51440,Women Tops & Tunics,10,pink,,,,,,,,,
51441,Women Tops & Tunics,10,green,default,regular,high,casual,solid,solid,long sleeves,regular sleeves,default
51442,Women Tops & Tunics,10,,,,,,,solid,three-quarter sleeves,,
51443,Women Tops & Tunics,10,black,fitted,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted
51444,Women Tops & Tunics,10,white,,crop,,,printed,graphic,,,waist tie-ups
51445,Women Tops & Tunics,10,blue,fitted,crop,round neck,casual,printed,quirky,sleeveless,sleeveless,
51446,Women Tops & Tunics,10,blue,,regular,,,,solid,three-quarter sleeves,,
51447,Women Tops & Tunics,10,maroon,fitted,crop,high,casual,solid,solid,long sleeves,regular sleeves,knitted
51448,Women Tops & Tunics,10,,,,,,,,three-quarter sleeves,,
51449,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51450,Women Tops & Tunics,10,green,boxy,crop,round neck,casual,printed,floral,long sleeves,regular sleeves,
51451,Women Tops & Tunics,10,red,fitted,,sweetheart neck,casual,,,long sleeves,,
51452,Women Tops & Tunics,10,white,fitted,crop,v-neck,party,solid,solid,long sleeves,regular sleeves,
51453,Women Tops & Tunics,10,pink,regular,regular,round neck,casual,printed,solid,three-quarter sleeves,regular sleeves,default
51454,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,
51455,Women Tops & Tunics,10,,,,,casual,,,,default,
51456,Women Tops & Tunics,10,maroon,boxy,crop,round neck,casual,solid,solid,short sleeves,regular sleeves,waist tie-ups
51457,Women Tops & Tunics,10,pink,,,,casual,,,,,
51458,Women Tops & Tunics,10,,fitted,,,casual,,default,short sleeves,regular sleeves,
51459,Women Tops & Tunics,10,maroon,fitted,crop,,,solid,,long sleeves,regular sleeves,knitted
51460,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51461,Women Tops & Tunics,10,maroon,regular,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted
51462,Women Tops & Tunics,10,pink,,,,,,,short sleeves,puff sleeves,
51463,Women Tops & Tunics,10,navy blue,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,default,knitted
51464,Women Tops & Tunics,10,,fitted,regular,high,,,,short sleeves,regular sleeves,knitted
51465,Women Tops & Tunics,10,blue,,regular,high,casual,,,short sleeves,default,
51466,Women Tops & Tunics,10,pink,,,,casual,solid,solid,long sleeves,regular sleeves,tie-ups
51467,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51468,Women Tops & Tunics,10,yellow,regular,regular,round neck,casual,printed,typography,short sleeves,regular sleeves,tie-ups
51469,Women Tops & Tunics,10,white,default,,default,,,solid,sleeveless,,
51470,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,printed,default,long sleeves,regular sleeves,waist tie-ups
51471,Women Tops & Tunics,10,,fitted,crop,v-neck,casual,solid,,short sleeves,default,knitted
51472,Women Tops & Tunics,10,,fitted,,high,casual,solid,solid,short sleeves,regular sleeves,
51473,Women Tops & Tunics,10,white,fitted,crop,round neck,casual,solid,solid,short sleeves,default,knitted
51474,Women Tops & Tunics,10,,,,,,,,long sleeves,puff sleeves,
51475,Women Tops & Tunics,10,red,fitted,crop,sweetheart neck,casual,solid,solid,long sleeves,regular sleeves,waist tie-ups
51476,Women Tops & Tunics,10,white,fitted,crop,round neck,casual,solid,solid,short sleeves,default,default
51477,Women Tops & Tunics,10,,default,,round neck,,solid,,,regular sleeves,
51478,Women Tops & Tunics,10,default,regular,crop,round neck,casual,printed,solid,sleeveless,,default
51479,Women Tops & Tunics,10,white,regular,,,,,,,,
51480,Women Tops & Tunics,10,pink,regular,crop,round neck,casual,printed,graphic,long sleeves,regular sleeves,waist tie-ups
51481,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51482,Women Tops & Tunics,10,maroon,regular,regular,default,casual,printed,default,three-quarter sleeves,regular sleeves,
51483,Women Tops & Tunics,10,green,default,,round neck,casual,default,floral,three-quarter sleeves,regular sleeves,default
51484,Women Tops & Tunics,10,default,fitted,crop,square neck,casual,solid,solid,long sleeves,regular sleeves,
51485,Women Tops & Tunics,10,black,regular,regular,round neck,casual,default,default,long sleeves,regular sleeves,waist tie-ups
51486,Women Tops & Tunics,10,maroon,fitted,crop,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted
51487,Women Tops & Tunics,10,,,,default,,,default,three-quarter sleeves,,default
51488,Women Tops & Tunics,10,,,crop,,,,,sleeveless,,
51489,Women Tops & Tunics,10,,,regular,high,,solid,,short sleeves,regular sleeves,
51490,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,
51491,Women Tops & Tunics,10,navy blue,fitted,regular,square neck,casual,solid,solid,three-quarter sleeves,,
51492,Women Tops & Tunics,10,white,fitted,,,casual,,,,,
51493,Women Tops & Tunics,10,,regular,,stylised,casual,solid,,short sleeves,puff sleeves,
51494,Women Tops & Tunics,10,pink,fitted,crop,round neck,casual,printed,quirky,short sleeves,sleeveless,
51495,Women Tops & Tunics,10,,,,,,,,,puff sleeves,knitted
51496,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,quirky,long sleeves,regular sleeves,
51497,Women Tops & Tunics,10,white,regular,crop,round neck,casual,solid,solid,sleeveless,sleeveless,default
51498,Women Tops & Tunics,10,maroon,regular,regular,round neck,casual,default,default,short sleeves,regular sleeves,
51499,Women Tops & Tunics,10,black,fitted,regular,round neck,,,,,regular sleeves,
51500,Women Tops & Tunics,10,red,,regular,default,casual,,,,,default
51501,Women Tops & Tunics,10,,,,square neck,,,solid,short sleeves,,
51502,Women Tops & Tunics,10,,,,,,,,,,default
51503,Women Tops & Tunics,10,maroon,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,default,
51504,Women Tops & Tunics,10,,regular,,,casual,,,short sleeves,puff sleeves,
51505,Women Tops & Tunics,10,blue,fitted,regular,round neck,casual,printed,floral,three-quarter sleeves,regular sleeves,
51506,Women Tops & Tunics,10,,,regular,,casual,,,short sleeves,puff sleeves,
51507,Women Tops & Tunics,10,default,regular,crop,high,casual,solid,solid,short sleeves,regular sleeves,
51508,Women Tops & Tunics,10,white,regular,crop,round neck,,printed,quirky,short sleeves,regular sleeves,applique
51509,Women Tops & Tunics,10,black,fitted,,,,,solid,,,
51510,Women Tops & Tunics,10,red,fitted,regular,high,casual,solid,solid,short sleeves,,knitted
51511,Women Tops & Tunics,10,default,regular,,,,default,solid,,,
51512,Women Tops & Tunics,10,default,regular,regular,default,casual,solid,solid,short sleeves,default,ruffles
51513,Women Tops & Tunics,10,black,,,,,,,,,
51514,Women Tops & Tunics,10,white,regular,,,,,solid,,,
51515,Women Tops & Tunics,10,default,regular,,,,,solid,,,
51516,Women Tops & Tunics,10,,,,,,solid,,short sleeves,puff sleeves,
51517,Women Tops & Tunics,10,default,regular,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,
51518,Women Tops & Tunics,10,,,,,,,,long sleeves,,
51519,Women Tops & Tunics,10,yellow,fitted,crop,high,casual,default,solid,short sleeves,default,knitted
51520,Women Tops & Tunics,10,white,,regular,high,casual,solid,solid,,puff sleeves,
51521,Women Tops & Tunics,10,maroon,fitted,regular,high,casual,solid,solid,long sleeves,regular sleeves,knitted
51522,Women Tops & Tunics,10,white,regular,,round neck,casual,,,short sleeves,regular sleeves,
51523,Women Tops & Tunics,10,red,boxy,regular,round neck,casual,printed,typography,short sleeves,regular sleeves,
51524,Women Tops & Tunics,10,default,,,,,default,floral,three-quarter sleeves,regular sleeves,
51525,Women Tops & Tunics,10,pink,boxy,crop,v-neck,casual,printed,typography,short sleeves,regular sleeves,
51526,Women Tops & Tunics,10,peach,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,default
51527,Women Tops & Tunics,10,yellow,,,,,,solid,long sleeves,regular sleeves,
51528,Women Tops & Tunics,10,black,regular,regular,square neck,casual,solid,solid,short sleeves,,ruffles
51529,Women Tops & Tunics,10,black,,,round neck,casual,solid,solid,long sleeves,,knitted
51530,Women Tops & Tunics,10,blue,fitted,crop,round neck,casual,solid,solid,sleeveless,sleeveless,
51531,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51532,Women Tops & Tunics,10,default,regular,,,,solid,solid,short sleeves,,
51533,Women Tops & Tunics,10,,regular,regular,,,,solid,,puff sleeves,
51534,Women Tops & Tunics,10,default,regular,,,,solid,solid,,,
51535,Women Tops & Tunics,10,default,regular,crop,default,casual,solid,solid,short sleeves,regular sleeves,
51536,Women Tops & Tunics,10,pink,regular,regular,round neck,casual,solid,solid,three-quarter sleeves,regular sleeves,default
51537,Women Tops & Tunics,10,,,,v-neck,,,,long sleeves,,
51538,Women Tops & Tunics,10,yellow,boxy,crop,round neck,casual,printed,solid,long sleeves,regular sleeves,tie-ups
51539,Women Tops & Tunics,10,blue,default,,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted
51540,Women Tops & Tunics,10,,regular,,,casual,,solid,,puff sleeves,
51541,Women Tops & Tunics,10,,fitted,,square neck,,,solid,,,
51542,Women Tops & Tunics,10,,,,,,,,,,default
51543,Women Tops & Tunics,10,black,fitted,crop,round neck,casual,printed,quirky,sleeveless,sleeveless,
51544,Women Tops & Tunics,10,,,regular,default,,,,three-quarter sleeves,,waist tie-ups
51545,Women Tops & Tunics,10,multicolor,regular,regular,round neck,casual,default,default,short sleeves,regular sleeves,
51546,Women Tops & Tunics,10,black,fitted,crop,round neck,casual,printed,quirky,sleeveless,sleeveless,
51547,Women Tops & Tunics,10,blue,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,
51548,Women Tops & Tunics,10,,,,,casual,default,,sleeveless,sleeveless,
51549,Women Tops & Tunics,10,green,boxy,crop,round neck,casual,printed,graphic,long sleeves,regular sleeves,
51550,Women Tops & Tunics,10,,,,,,,,,puff sleeves,knitted
51551,Women Tops & Tunics,10,,regular,,,,solid,,short sleeves,puff sleeves,
51552,Women Tops & Tunics,10,,,,,,,,short sleeves,default,knitted
51553,Women Tops & Tunics,10,,,crop,,casual,printed,default,long sleeves,,
51554,Women Tops & Tunics,10,default,,,,,,,,regular sleeves,
51555,Women Tops & Tunics,10,default,regular,regular,round neck,casual,printed,,short sleeves,,
51556,Women Tops & Tunics,10,,,,round neck,,,,long sleeves,,
51557,Women Tops & Tunics,10,maroon,fitted,regular,square neck,casual,solid,solid,three-quarter sleeves,,
51558,Women Tops & Tunics,10,default,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51559,Women Tops & Tunics,10,maroon,default,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,applique
51560,Women Tops & Tunics,10,,,regular,high,casual,,,,,
51561,Women Tops & Tunics,10,pink,,,round neck,,,,,,
51562,Women Tops & Tunics,10,,,,square neck,casual,solid,solid,,,knitted
51563,Women Tops & Tunics,10,default,regular,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,waist tie-ups
51564,Women Tops & Tunics,10,pink,regular,,,,,,,regular sleeves,
51565,Women Tops & Tunics,10,black,regular,regular,round neck,casual,printed,graphic,short sleeves,default,
51566,Women Tops & Tunics,10,white,fitted,,,casual,,,short sleeves,regular sleeves,ruffles
51567,Women Tops & Tunics,10,black,,,,,,solid,,,
51568,Women Tops & Tunics,10,,,regular,round neck,,solid,,long sleeves,regular sleeves,
51569,Women Tops & Tunics,10,,,,round neck,casual,,,long sleeves,,
51570,Women Tops & Tunics,10,,fitted,,,,printed,default,,regular sleeves,
51571,Women Tops & Tunics,10,,regular,,stylised,casual,solid,,,puff sleeves,
51572,Women Tops & Tunics,10,default,,,,,,solid,short sleeves,puff sleeves,
51573,Women Tops & Tunics,10,yellow,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,
51574,Women Tops & Tunics,10,maroon,boxy,regular,round neck,casual,printed,graphic,long sleeves,regular sleeves,
51575,Women Tops & Tunics,10,multicolor,regular,regular,,casual,printed,default,short sleeves,puff sleeves,
51576,Women Tops & Tunics,10,blue,regular,regular,high,casual,solid,solid,short sleeves,puff sleeves,knitted
51577,Women Tops & Tunics,10,,,,v-neck,,,,,,
51578,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,
51579,Women Tops & Tunics,10,pink,regular,regular,round neck,casual,solid,solid,short sleeves,,knitted
51580,Women Tops & Tunics,10,black,fitted,crop,square neck,casual,solid,solid,short sleeves,regular sleeves,knitted
51581,Women Tops & Tunics,10,white,regular,,round neck,,printed,default,short sleeves,regular sleeves,
51582,Women Tops & Tunics,10,,,,round neck,casual,printed,default,,,knitted
51583,Women Tops & Tunics,10,black,fitted,regular,sweetheart neck,casual,printed,default,short sleeves,puff sleeves,knitted
51584,Women Tops & Tunics,10,default,regular,,,,,solid,,,
51585,Women Tops & Tunics,10,default,default,regular,v-neck,casual,solid,solid,short sleeves,,default
51586,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51587,Women Tops & Tunics,10,,fitted,,high,casual,,,,,
51588,Women Tops & Tunics,10,default,fitted,regular,square neck,casual,solid,solid,three-quarter sleeves,,
51589,Women Tops & Tunics,10,yellow,boxy,crop,round neck,casual,printed,quirky,long sleeves,regular sleeves,default
51590,Women Tops & Tunics,10,red,,,,,solid,,,puff sleeves,
51591,Women Tops & Tunics,10,,default,,round neck,casual,solid,,sleeveless,,
51592,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,
51593,Women Tops & Tunics,10,yellow,regular,regular,high,casual,solid,solid,short sleeves,default,
51594,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,default
51595,Women Tops & Tunics,10,white,fitted,,,,,solid,,,knitted
51596,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,solid,solid,short sleeves,regular sleeves,default
51597,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,
51598,Women Tops & Tunics,10,multicolor,fitted,regular,high,casual,printed,default,short sleeves,,knitted
51599,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51600,Women Tops & Tunics,10,,,,,casual,printed,default,short sleeves,regular sleeves,
51601,Women Tops & Tunics,10,red,default,regular,round neck,casual,printed,default,three-quarter sleeves,regular sleeves,
51602,Women Tops & Tunics,10,pink,,crop,,,printed,,long sleeves,regular sleeves,
51603,Women Tops & Tunics,10,pink,regular,regular,default,casual,printed,floral,three-quarter sleeves,regular sleeves,
51604,Women Tops & Tunics,10,,,,v-neck,,,solid,long sleeves,regular sleeves,
51605,Women Tops & Tunics,10,default,,regular,,,,,,puff sleeves,
51606,Women Tops & Tunics,10,,,,v-neck,,,,,,
51607,Women Tops & Tunics,10,pink,fitted,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,
51608,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,tie-ups
51609,Women Tops & Tunics,10,default,,regular,high,casual,solid,solid,,,default
51610,Women Tops & Tunics,10,default,regular,regular,square neck,casual,solid,solid,three-quarter sleeves,default,knitted
51611,Women Tops & Tunics,10,blue,fitted,crop,high,casual,solid,solid,short sleeves,default,applique
51612,Women Tops & Tunics,10,black,regular,crop,round neck,,printed,typography,sleeveless,sleeveless,
51613,Women Tops & Tunics,10,default,fitted,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,
51614,Women Tops & Tunics,10,white,,,,casual,solid,solid,short sleeves,,
51615,Women Tops & Tunics,10,white,regular,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,default
51616,Women Tops & Tunics,10,peach,fitted,regular,high,casual,solid,solid,short sleeves,regular sleeves,knitted
51617,Women Tops & Tunics,10,,,regular,stylised,casual,,,short sleeves,puff sleeves,
51618,Women Tops & Tunics,10,,,regular,square neck,casual,,,,,
51619,Women Tops & Tunics,10,pink,,,round neck,,,,,,
51620,Women Tops & Tunics,10,,,,,,,solid,long sleeves,puff sleeves,
51621,Women Tops & Tunics,10,default,regular,crop,round neck,casual,solid,solid,short sleeves,,waist tie-ups
51622,Women Tops & Tunics,10,black,fitted,regular,high,casual,solid,solid,three-quarter sleeves,default,
51623,Women Tops & Tunics,10,,,,,,,,long sleeves,,knitted
51624,Women Tops & Tunics,10,maroon,regular,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,ruffles
51625,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,
51626,Women Tops & Tunics,10,red,fitted,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,
51627,Women Tops & Tunics,10,white,fitted,crop,high,casual,solid,solid,sleeveless,sleeveless,
51628,Women Tops & Tunics,10,,,,,,solid,,,,ruffles
51629,Women Tops & Tunics,10,default,boxy,regular,round neck,party,printed,graphic,short sleeves,regular sleeves,
51630,Women Tops & Tunics,10,,,,default,,,,,,
51631,Women Tops & Tunics,10,blue,fitted,regular,stylised,casual,solid,solid,short sleeves,regular sleeves,default
51632,Women Tops & Tunics,10,navy blue,default,crop,v-neck,party,solid,solid,short sleeves,regular sleeves,knitted
51633,Women Tops & Tunics,10,,,regular,v-neck,,,,long sleeves,,
51634,Women Tops & Tunics,10,red,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,,knitted
51635,Women Tops & Tunics,10,pink,fitted,crop,round neck,casual,printed,quirky,sleeveless,sleeveless,
51636,Women Tops & Tunics,10,,fitted,,high,,,,,,
51637,Women Tops & Tunics,10,,fitted,,,casual,default,,,,
51638,Women Tops & Tunics,10,,regular,crop,,,,,sleeveless,,
51639,Women Tops & Tunics,10,red,default,regular,round neck,casual,solid,solid,long sleeves,puff sleeves,
51640,Women Tops & Tunics,10,black,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,
51641,Women Tops & Tunics,10,default,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,knitted
51642,Women Tops & Tunics,10,maroon,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,,
51643,Women Tops & Tunics,10,,,,sweetheart neck,,,solid,,puff sleeves,
51644,Women Tops & Tunics,10,,fitted,,,,,default,,,knitted
51645,Women Tops & Tunics,10,,,,high,,,,,,
51646,Women Tops & Tunics,10,default,regular,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,waist tie-ups
51647,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted
51648,Women Tops & Tunics,10,white,,,,casual,,,,regular sleeves,
51649,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,
51650,Women Tops & Tunics,10,pink,fitted,crop,round neck,casual,printed,quirky,sleeveless,sleeveless,
51651,Women Tops & Tunics,10,,,,,casual,solid,,,puff sleeves,
51652,Women Tops & Tunics,10,black,regular,regular,round neck,casual,printed,typography,short sleeves,regular sleeves,default
51653,Women Tops & Tunics,10,peach,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,,knitted
51654,Women Tops & Tunics,10,,regular,,,,,solid,short sleeves,puff sleeves,
51655,Women Tops & Tunics,10,,,,stylised,,,,,puff sleeves,
51656,Women Tops & Tunics,10,maroon,regular,regular,v-neck,casual,solid,solid,short sleeves,,ruffles
51657,Women Tops & Tunics,10,default,,regular,,casual,,,,,
51658,Women Tops & Tunics,10,peach,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51659,Women Tops & Tunics,10,black,regular,,square neck,casual,,solid,,,ruffles
51660,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51661,Women Tops & Tunics,10,maroon,fitted,regular,square neck,casual,solid,solid,three-quarter sleeves,default,knitted
51662,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,
51663,Women Tops & Tunics,10,black,regular,,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted
51664,Women Tops & Tunics,10,red,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,ruffles
51665,Women Tops & Tunics,10,pink,default,,,,,,three-quarter sleeves,regular sleeves,
51666,Women Tops & Tunics,10,default,regular,,,,solid,solid,,,
51667,Women Tops & Tunics,10,,regular,,,casual,,solid,,puff sleeves,
51668,Women Tops & Tunics,10,blue,regular,regular,square neck,casual,solid,solid,three-quarter sleeves,puff sleeves,
51669,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,short sleeves,,knitted
51670,Women Tops & Tunics,10,,regular,regular,,casual,,,short sleeves,puff sleeves,
51671,Women Tops & Tunics,10,peach,fitted,crop,round neck,casual,solid,solid,sleeveless,sleeveless,
51672,Women Tops & Tunics,10,pink,regular,,round neck,casual,printed,,sleeveless,,
51673,Women Tops & Tunics,10,default,fitted,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,
51674,Women Tops & Tunics,10,white,regular,,,,,solid,,,
51675,Women Tops & Tunics,10,red,fitted,regular,default,casual,solid,solid,short sleeves,regular sleeves,
51676,Women Tops & Tunics,10,white,regular,regular,round neck,,printed,,short sleeves,regular sleeves,
51677,Women Tops & Tunics,10,white,fitted,regular,high,casual,solid,solid,long sleeves,regular sleeves,
51678,Women Tops & Tunics,10,maroon,regular,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,waist tie-ups
51679,Women Tops & Tunics,10,,regular,,,,solid,,,default,knitted
