id,Category,len,blouse_pattern,border,border_width,color,occasion,ornamentation,pallu_details,pattern,print_or_pattern_type,transparency
7560,Sarees,10,,zari,big border,default,traditional,,,zari woven,ethnic motif,no
7561,Sarees,10,same as saree,no border,no border,multicolor,party,default,same as saree,default,floral,no
7562,Sarees,10,,zari,small border,white,traditional,,,zari woven,peacock,no
7563,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7564,Sarees,10,,,big border,,,,,,,
7565,Sarees,10,,,,,traditional,,,,,
7566,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7567,Sarees,10,,zari,small border,white,traditional,,,zari woven,ethnic motif,no
7568,Sarees,10,same as saree,zari,small border,white,party,,same as saree,zari woven,floral,no
7569,Sarees,10,,zari,big border,default,traditional,,zari woven,zari woven,default,no
7570,Sarees,10,same as border,temple border,big border,default,party,,zari woven,solid,solid,yes
7571,Sarees,10,,,,,,default,,,,
7572,Sarees,10,,zari,small border,cream,party,,,zari woven,default,yes
7573,Sarees,10,same as border,temple border,big border,navy blue,party,,zari woven,solid,solid,no
7574,Sarees,10,same as saree,zari,big border,default,party,,zari woven,solid,solid,no
7575,Sarees,10,,no border,,navy blue,traditional,,,zari woven,default,no
7576,Sarees,10,,zari,small border,white,party,,,zari woven,default,no
7577,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7578,Sarees,10,,woven design,,default,daily,,,zari woven,default,no
7579,Sarees,10,,default,,,,,,,,
7580,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
7581,Sarees,10,same as border,no border,big border,default,party,tassels and latkans,,zari woven,ethnic motif,no
7582,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,no
7583,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7584,Sarees,10,,zari,small border,cream,party,,,zari woven,default,no
7585,Sarees,10,,zari,small border,white,traditional,,,zari woven,ethnic motif,no
7586,Sarees,10,,zari,small border,default,traditional,,zari woven,zari woven,ethnic motif,no
7587,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7588,Sarees,10,,woven design,,multicolor,daily,,,,,no
7589,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7590,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,default,no
7591,Sarees,10,same as saree,woven design,big border,default,daily,,same as saree,zari woven,ethnic motif,no
7592,Sarees,10,,zari,small border,cream,party,,,zari woven,default,no
7593,Sarees,10,same as border,zari,big border,default,daily,jacquard,default,solid,solid,no
7594,Sarees,10,,temple border,big border,navy blue,party,,,zari woven,floral,no
7595,Sarees,10,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,peacock,no
7596,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7597,Sarees,10,,woven design,big border,default,traditional,,same as saree,zari woven,ethnic motif,no
7598,Sarees,10,,temple border,small border,cream,traditional,,,zari woven,ethnic motif,no
7599,Sarees,10,,zari,small border,cream,party,,,zari woven,default,no
7600,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,yes
7601,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7602,Sarees,10,,zari,small border,cream,party,,,zari woven,default,yes
7603,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7604,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,no
7605,Sarees,10,solid,zari,big border,default,party,jacquard,zari woven,solid,solid,no
7606,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7607,Sarees,10,,zari,big border,pink,traditional,,zari woven,zari woven,ethnic motif,no
7608,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7609,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7610,Sarees,10,,zari,big border,default,traditional,,,zari woven,peacock,no
7611,Sarees,10,,woven design,big border,multicolor,wedding,,default,woven design,default,no
7612,Sarees,10,same as border,zari,big border,default,traditional,,,zari woven,ethnic motif,no
7613,Sarees,10,default,woven design,big border,multicolor,traditional,,same as saree,zari woven,default,no
7614,Sarees,10,,zari,small border,cream,party,,,woven design,floral,no
7615,Sarees,10,,woven design,,default,traditional,,,,,no
7616,Sarees,10,same as saree,temple border,big border,default,daily,,zari woven,woven design,default,no
7617,Sarees,10,same as saree,solid,small border,white,traditional,jacquard,woven design,woven design,floral,yes
7618,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7619,Sarees,10,same as border,zari,big border,multicolor,party,tassels and latkans,default,printed,default,no
7620,Sarees,10,,,big border,,,,,,,
7621,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7622,Sarees,10,same as saree,woven design,big border,multicolor,daily,,zari woven,zari woven,default,no
7623,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7624,Sarees,10,default,woven design,small border,multicolor,wedding,,same as saree,zari woven,default,no
7625,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
7626,Sarees,10,same as saree,solid,big border,white,traditional,jacquard,same as saree,zari woven,default,no
7627,Sarees,10,same as saree,zari,small border,white,traditional,jacquard,woven design,zari woven,ethnic motif,yes
7628,Sarees,10,same as border,zari,big border,yellow,party,,zari woven,solid,solid,no
7629,Sarees,10,,zari,small border,navy blue,traditional,,same as saree,zari woven,botanical,no
7630,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
7631,Sarees,10,,zari,small border,white,party,,,zari woven,default,no
7632,Sarees,10,default,woven design,big border,default,traditional,,zari woven,zari woven,default,no
7633,Sarees,10,,temple border,small border,cream,party,,,zari woven,peacock,yes
7634,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,no
7635,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
7636,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
7637,Sarees,10,,,,default,party,default,,zari woven,default,no
7638,Sarees,10,default,default,small border,multicolor,daily,,,default,default,no
7639,Sarees,10,same as border,woven design,big border,default,wedding,,,zari woven,default,no
7640,Sarees,10,,woven design,,multicolor,wedding,,,,,no
7641,Sarees,10,,zari,big border,default,traditional,,,zari woven,peacock,no
7642,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
7643,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
7644,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7645,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7646,Sarees,10,,temple border,small border,cream,party,,,zari woven,peacock,no
7647,Sarees,10,,zari,small border,white,traditional,,same as saree,zari woven,ethnic motif,no
7648,Sarees,10,,,,,,,,,peacock,
7649,Sarees,10,,temple border,small border,white,party,,,zari woven,peacock,no
7650,Sarees,10,,zari,small border,white,party,,,zari woven,default,no
7651,Sarees,10,default,zari,small border,default,traditional,,zari woven,zari woven,ethnic motif,no
7652,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7653,Sarees,10,,temple border,small border,white,party,,,zari woven,peacock,no
7654,Sarees,10,same as saree,temple border,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7655,Sarees,10,,,,default,party,,zari woven,zari woven,peacock,no
7656,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7657,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,yes
7658,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7659,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7660,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,yes
7661,Sarees,10,,zari,small border,cream,traditional,,,zari woven,default,no
7662,Sarees,10,default,default,small border,default,daily,,same as saree,default,default,no
7663,Sarees,10,,,,default,,,,,,
7664,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7665,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7666,Sarees,10,same as border,woven design,small border,default,traditional,,same as saree,default,default,no
7667,Sarees,10,,zari,small border,cream,party,,,zari woven,elephant,no
7668,Sarees,10,,zari,small border,white,traditional,,,zari woven,elephant,no
7669,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7670,Sarees,10,,temple border,small border,cream,party,,,zari woven,ethnic motif,yes
7671,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7672,Sarees,10,,zari,big border,pink,traditional,,zari woven,zari woven,default,no
7673,Sarees,10,same as saree,zari,small border,white,traditional,default,same as saree,zari woven,default,no
7674,Sarees,10,solid,zari,big border,default,daily,jacquard,default,solid,solid,no
7675,Sarees,10,same as saree,zari,big border,navy blue,party,,zari woven,solid,solid,no
7676,Sarees,10,,default,,default,traditional,,zari woven,zari woven,default,no
7677,Sarees,10,,solid,small border,cream,traditional,,,zari woven,floral,yes
7678,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7679,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7680,Sarees,10,,woven design,,multicolor,wedding,,,,,no
7681,Sarees,10,,woven design,small border,multicolor,wedding,,same as saree,default,ethnic motif,no
7682,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
7683,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,no
7684,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7685,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7686,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7687,Sarees,10,same as border,zari,big border,default,party,,zari woven,zari woven,default,no
7688,Sarees,10,same as border,temple border,big border,default,daily,,zari woven,solid,solid,no
7689,Sarees,10,same as saree,woven design,small border,default,traditional,,same as saree,zari woven,default,no
7690,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7691,Sarees,10,,,big border,,traditional,,,zari woven,,no
7692,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7693,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,yes
7694,Sarees,10,,default,big border,multicolor,traditional,,zari woven,zari woven,ethnic motif,no
7695,Sarees,10,same as border,temple border,big border,default,party,,zari woven,solid,solid,no
7696,Sarees,10,,zari,big border,pink,traditional,,zari woven,zari woven,default,no
7697,Sarees,10,,temple border,big border,cream,party,,,zari woven,peacock,no
7698,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,no
7699,Sarees,10,,,,default,party,,zari woven,zari woven,default,no
7700,Sarees,10,,zari,small border,cream,traditional,,,zari woven,default,no
7701,Sarees,10,,,,,traditional,,,,,
7702,Sarees,10,same as saree,solid,small border,white,daily,,same as saree,zari woven,solid,no
7703,Sarees,10,same as border,default,big border,default,party,,same as saree,zari woven,ethnic motif,no
7704,Sarees,10,,,,,,jacquard,,,,
7705,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7706,Sarees,10,,zari,small border,cream,party,,,zari woven,default,no
7707,Sarees,10,same as saree,zari,small border,cream,party,jacquard,same as saree,zari woven,peacock,no
7708,Sarees,10,,woven design,,multicolor,wedding,,,,,no
7709,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7710,Sarees,10,,zari,big border,pink,traditional,,zari woven,zari woven,default,no
7711,Sarees,10,,woven design,big border,multicolor,traditional,,zari woven,zari woven,ethnic motif,no
7712,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7713,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7714,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
7715,Sarees,10,same as saree,woven design,big border,default,daily,,same as saree,zari woven,ethnic motif,no
7716,Sarees,10,,no border,no border,navy blue,party,,zari woven,zari woven,default,no
7717,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7718,Sarees,10,same as border,zari,big border,default,party,,zari woven,solid,solid,yes
7719,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,no
7720,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7721,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7722,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
7723,Sarees,10,,woven design,big border,multicolor,wedding,,default,woven design,default,no
7724,Sarees,10,,zari,small border,white,party,,,zari woven,peacock,yes
7725,Sarees,10,same as saree,temple border,small border,white,traditional,jacquard,woven design,zari woven,peacock,yes
7726,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no
7727,Sarees,10,,temple border,small border,cream,traditional,,,zari woven,peacock,
7728,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7729,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7730,Sarees,10,same as border,woven design,big border,multicolor,daily,,same as saree,zari woven,ethnic motif,no
7731,Sarees,10,same as border,temple border,big border,navy blue,party,,zari woven,solid,solid,yes
7732,Sarees,10,,zari,,navy blue,traditional,,,zari woven,default,no
7733,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7734,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7735,Sarees,10,,woven design,big border,multicolor,daily,,,zari woven,ethnic motif,no
7736,Sarees,10,same as border,woven design,small border,default,party,,zari woven,zari woven,ethnic motif,no
7737,Sarees,10,default,zari,small border,green,traditional,jacquard,default,zari woven,ethnic motif,no
7738,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7739,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7740,Sarees,10,,zari,small border,cream,party,,,zari woven,default,yes
7741,Sarees,10,same as saree,zari,small border,white,daily,default,same as saree,zari woven,floral,no
7742,Sarees,10,,woven design,,multicolor,wedding,,,,,no
7743,Sarees,10,same as saree,woven design,no border,multicolor,party,jacquard,woven design,zari woven,,no
7744,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7745,Sarees,10,,solid,small border,white,traditional,,,woven design,floral,yes
7746,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7747,Sarees,10,,woven design,,multicolor,traditional,,,,,no
7748,Sarees,10,,zari,small border,white,party,,,zari woven,elephant,no
7749,Sarees,10,same as saree,woven design,small border,default,wedding,default,same as saree,zari woven,ethnic motif,no
7750,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7751,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7752,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7753,Sarees,10,,woven design,small border,default,traditional,,same as saree,zari woven,default,no
7754,Sarees,10,,zari,small border,white,party,,,zari woven,floral,no
7755,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7756,Sarees,10,,woven design,big border,default,traditional,,same as saree,zari woven,ethnic motif,no
7757,Sarees,10,,zari,small border,cream,traditional,,,zari woven,peacock,no
7758,Sarees,10,same as border,woven design,big border,default,traditional,,,zari woven,default,no
7759,Sarees,10,,zari,small border,white,party,,,zari woven,peacock,yes
7760,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,yes
7761,Sarees,10,,zari,small border,cream,traditional,,,zari woven,floral,no
7762,Sarees,10,,zari,big border,default,traditional,,,zari woven,default,no
7763,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,,no
7764,Sarees,10,same as border,temple border,big border,navy blue,party,jacquard,zari woven,solid,solid,yes
7765,Sarees,10,same as saree,zari,small border,cream,party,,same as saree,zari woven,default,no
7766,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no
7767,Sarees,10,same as border,woven design,big border,navy blue,traditional,default,zari woven,zari woven,peacock,no
7768,Sarees,10,same as border,zari,big border,default,daily,jacquard,zari woven,solid,solid,yes
7769,Sarees,10,,zari,small border,white,party,,,zari woven,ethnic motif,no
7770,Sarees,10,,,,,,,,zari woven,peacock,
7771,Sarees,10,default,no border,no border,default,party,,zari woven,zari woven,default,no
7772,Sarees,10,,zari,small border,white,party,,,zari woven,peacock,no
7773,Sarees,10,,zari,big border,cream,party,,,zari woven,default,no
7774,Sarees,10,default,default,small border,default,party,jacquard,,solid,solid,no
7775,Sarees,10,same as border,zari,big border,multicolor,party,tassels and latkans,zari woven,woven design,checked,no
7776,Sarees,10,,default,big border,default,traditional,,,default,ethnic motif,no
7777,Sarees,10,default,default,small border,default,party,,same as saree,default,default,no
7778,Sarees,10,default,default,small border,default,wedding,,,default,default,no
7779,Sarees,10,same as border,temple border,big border,default,party,,zari woven,solid,solid,yes
7780,Sarees,10,,zari,big border,yellow,traditional,,,zari woven,peacock,no
7781,Sarees,10,,woven design,,default,daily,,zari woven,zari woven,ethnic motif,no
7782,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,,no
7783,Sarees,10,,zari,small border,cream,party,,,zari woven,floral,no
7784,Sarees,10,,,,default,traditional,,,zari woven,default,no
7785,Sarees,10,,zari,small border,cream,traditional,,,zari woven,elephant,no
7786,Sarees,10,,zari,small border,cream,party,,,zari woven,peacock,yes
